orderID,barcode,rainbow_code,out_datetime,all_price 
SH10011609111234500100000016,6905734301284,417040601013016,2016-09-11 19:07:00,4.3
SH10011609111234500100000016,6921581540591,417031901013025,2016-09-11 19:07:00,3.9
SH10011609111234500100000016,6902890234166,416111901012154,2016-09-11 19:07:00,1.2
SH10011609111234500100000016,6902890234166,416111901010894,2016-09-11 19:07:00,1.2
SH10011609111234500100000018,6942910302710,417052101013208,2016-09-11 20:38:23,1.0
SH10011609111234500100000018,6921682828772,417060301013651,2016-09-11 20:38:23,0.8
SH10011609111234500100000018,6902890234166,416111901010080,2016-09-11 20:38:23,1.2
SH10011609121234500100000020,4891028164395,417072401013044,2016-09-12 08:53:10,2.0
SH10011609121234500100000020,6902538004045,417052401013005,2016-09-12 08:53:10,3.6
SH10011609121234500100000022,6907992100272,417012801012356,2016-09-12 09:02:10,2.2
SH10011609121234500100000012,8934760211012,417053101010583,2016-09-12 10:38:49,1.0
SH10011609121234500100000012,8934760211012,417053101013927,2016-09-12 10:38:49,1.0
SH10011609121234500100000012,8934760211012,417053101010181,2016-09-12 10:38:49,1.0
SH10011609121234500100000012,8934760211012,417053101011131,2016-09-12 10:38:49,1.0
SH10011609121234500100000012,8934760211012,417053101011122,2016-09-12 10:38:49,1.0
SH10011609121234500100000012,8934760211012,417053101013208,2016-09-12 10:38:49,1.0
SH10011609121234500100000012,8934760211012,417053101010055,2016-09-12 10:38:49,1.0
SH10011609121234500100000012,8934760211012,417053101013612,2016-09-12 10:38:49,1.0
SH10011609121234500100000012,8934760211012,417053101011730,2016-09-12 10:38:49,1.0
SH10011609121234500100000012,8934760211012,417053101011777,2016-09-12 10:38:49,1.0
SH10011609121234500100000013,6903474224467,418062101010258,2016-09-12 10:48:19,6.9
SH10011609121234500100000014,6901234000238,417122601011524,2016-09-12 10:51:25,1.0
